fdc_id,food_name,description,calories,protein_g,fat_g,carbs_g,sugar_g,fiber_g,sodium_mg,potassium_mg,phosphorus_mg,canonical_name,gi_value,gi_category,gi_match_type
171698,apricots,"apricots, canned, water pack, with skin, solids and liquids",27.0,0.71,0.16,6.39,4.79,1.6,3.0,192.0,13.0,apricots,,unknown,unmatched
171699,apricots,"apricots, canned, heavy syrup pack, with skin, solids and liquids",83.0,0.53,0.08,21.47,19.87,1.6,4.0,140.0,12.0,apricots,,unknown,unmatched
171700,apricots,"apricots, canned, heavy syrup pack, without skin, solids and liquids",83.0,0.51,0.09,21.45,0.0,1.6,11.0,134.0,13.0,apricots,,unknown,unmatched
171701,apricots,"apricots, canned, extra heavy syrup pack, without skin, solids and liquids",96.0,0.55,0.04,24.85,0.0,1.6,13.0,126.0,15.0,apricots,,unknown,unmatched
171702,apricots,"apricots, dehydrated (low-moisture), sulfured, uncooked",320.0,4.9,0.62,82.89,0.0,0.0,13.0,1850.0,157.0,apricots,,unknown,unmatched
171703,apricots,"apricots, frozen, sweetened",98.0,0.7,0.1,25.1,0.0,2.2,4.0,229.0,19.0,apricots,,unknown,unmatched
171704,apricot nectar,"apricot nectar, canned, with added ascorbic acid",56.0,0.17,0.45,13.63,12.79,0.1,8.0,67.0,5.0,apricot nectar,,unknown,unmatched
171705,avocados,"avocados, raw, all commercial varieties",160.0,2.0,14.66,8.53,0.66,6.7,7.0,485.0,52.0,avocados,,unknown,unmatched
171706,avocados,"avocados, raw, california",167.0,1.96,15.41,8.64,0.3,6.8,8.0,507.0,54.0,avocados,,unknown,unmatched
171707,avocados,"avocados, raw, florida",120.0,2.23,10.06,7.82,2.42,5.6,2.0,351.0,40.0,avocados,,unknown,unmatched
171709,blackberries,"blackberries, canned, heavy syrup, solids and liquids",92.0,1.31,0.14,23.1,19.7,3.4,3.0,99.0,14.0,blackberries,,unknown,unmatched
171710,blackberries,"blackberries, frozen, unsweetened",64.0,1.18,0.43,15.67,10.67,5.0,1.0,140.0,30.0,blackberries,,unknown,unmatched
171711,blueberries,"blueberries, raw",57.0,0.74,0.33,14.49,9.96,2.4,1.0,77.0,12.0,blueberries,,unknown,unmatched
171712,boysenberries,"boysenberries, canned, heavy syrup",88.0,0.99,0.12,22.31,0.0,2.6,3.0,90.0,10.0,boysenberries,,unknown,unmatched
171713,boysenberries,"boysenberries, frozen, unsweetened",50.0,1.1,0.26,12.19,6.89,5.3,1.0,139.0,27.0,boysenberries,,unknown,unmatched
171714,breadfruit,"breadfruit, raw",103.0,1.07,0.23,27.12,11.0,4.9,2.0,490.0,30.0,breadfruit,,unknown,unmatched
171715,carambola,"carambola, (starfruit), raw",31.0,1.04,0.33,6.73,3.98,2.8,2.0,133.0,12.0,carambola,,unknown,unmatched
171722,cranberries,"cranberries, raw",46.0,0.46,0.13,11.97,4.27,3.6,2.0,80.0,11.0,cranberries,,unknown,unmatched
171723,cranberries,"cranberries, dried, sweetened (includes foods for usda's food distribution program)",308.0,0.17,1.09,82.8,72.56,5.3,5.0,49.0,8.0,cranberries,,unknown,unmatched
171724,currants,"currants, zante, dried",290.0,3.43,0.22,76.98,62.28,4.4,43.0,777.0,99.0,currants,,unknown,unmatched
171727,elderberries,"elderberries, raw",73.0,0.66,0.5,18.4,0.0,7.0,6.0,280.0,39.0,elderberries,,unknown,unmatched
171821,soup,"soup, wonton, chinese restaurant",32.0,2.08,0.26,5.25,0.34,0.2,406.0,32.0,18.0,soup,,unknown,unmatched
171822,soup,"soup, ramen noodle, dry, any flavor, reduced fat, reduced sodium",350.0,10.89,2.5,70.95,0.85,2.7,1200.0,128.0,117.0,soup,,unknown,unmatched
171823,sauce,"sauce, duck, ready-to-serve",245.0,0.36,0.13,60.66,30.54,0.6,712.0,87.0,9.0,sauce,,unknown,unmatched
171824,sauce,"sauce, salsa, verde, ready-to-serve",38.0,1.13,0.89,6.36,3.5,1.9,906.0,259.0,41.0,sauce,,unknown,unmatched
171825,sauce,"sauce, steak, tomato based",95.0,1.25,0.23,22.04,9.82,1.5,1647.0,312.0,33.0,sauce,,unknown,unmatched
171826,sauce,"sauce, tartar, ready-to-serve",211.0,1.0,16.7,13.3,4.25,0.5,667.0,68.0,17.0,sauce,,unknown,unmatched
171827,sauce,"sauce, barbecue, sweet baby ray's, original",192.0,0.95,0.43,46.08,38.37,1.3,765.0,235.0,22.0,sauce,,unknown,unmatched
171828,sauce,"sauce, barbecue, bull's-eye, original",170.0,0.91,0.67,39.95,35.29,1.0,1012.0,263.0,22.0,sauce,,unknown,unmatched
171829,sauce,"sauce, barbecue, kc masterpiece, original",160.0,1.0,0.52,37.92,30.95,1.4,613.0,277.0,24.0,sauce,,unknown,unmatched
171830,sauce,"sauce, barbecue, open pit, original",132.0,0.44,1.41,29.45,23.49,0.5,1517.0,56.0,17.0,sauce,,unknown,unmatched
171831,wasabi,wasabi,292.0,2.23,10.9,46.13,13.2,6.1,3390.0,182.0,26.0,wasabi,,unknown,unmatched
171832,dip,"dip, bean, original flavor",119.0,5.44,3.7,15.89,0.99,4.9,443.0,368.0,105.0,dip,,unknown,unmatched
171833,sauce,"sauce, horseradish",503.0,1.09,50.89,10.05,8.98,1.0,730.0,44.0,19.0,sauce,,unknown,unmatched
171834,dip,"dip, frito's, bean, original flavor",119.0,5.44,3.7,15.89,0.99,4.9,443.0,368.0,105.0,dip,,unknown,unmatched
171844,bread,"bread, chapati or roti, plain, commercially prepared",297.0,11.25,7.45,46.36,2.72,4.9,409.0,266.0,184.0,bread,,unknown,unmatched
171845,bread,"bread, naan, plain, commercially prepared, refrigerated",291.0,9.62,5.65,50.43,3.55,2.2,465.0,125.0,100.0,bread,,unknown,unmatched
